project	bucket	rationale	refs_strong	refs_weak	ref_sources	files	bytes	tracked_files	tracked_bytes	builder_scripts	intermediate_hits	status_marker
20260710_layered_reconstruction_v2	B	Q1 有 68 處路徑引用，但 230.8 MB 過大，留磁碟	68	4	"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/20260801_\346\254\212\345\250\201\350\263\207\346\226\231\350\210\207\351\201\216\346\234\237\344\276\206\346\272\220\347\231\273\351\214\204_01.md";"docs/handoff/20260801_exactPS_readAF_CNV_AI\344\272\244\346\216\245_01/authority_manifest.json";"docs/methodology/20260715_sSNV\345\205\261\347\217\276\345\270\203\347\210\276\350\266\205\347\253\213\346\226\271\351\253\224\350\210\207VAF\346\216\222\345\272\217\347\231\275\350\251\261\346\225\231\345\255\270_01.standalone.html"	353	230805338	122	1383476	10	6	raw_all_production_authorized_pending_start
20260711_read_group_C_tree_T_topology_report	B	Q1 有 27 處路徑引用，但 67.2 MB 過大，留磁碟	27	2	"docs/methodology/20260715_sSNV\345\205\261\347\217\276\345\270\203\347\210\276\350\266\205\347\253\213\346\226\271\351\253\224\350\210\207VAF\346\216\222\345\272\217\347\231\275\350\251\261\346\225\231\345\255\270_01.standalone.html";"docs/reports/in_progress/2026/07/20260711_HCC1395_read\347\276\244C\350\210\207Steiner\346\250\271T\346\213\223\346\222\262\345\275\242\347\213\200\345\205\250\346\250\243\346\234\254\346\225\270\346\223\232\345\240\261\345\221\212_01/20260711_HCC1395_read\347\276\244C\350\210\207Steiner\346\250\271T\346\213\223\346\222\262\345\275\242\347\213\200\345\205\250\346\250\243\346\234\254\346\225\270\346\223\232\345\240\261\345\221\212_01.html";"docs/reports/in_progress/2026/07/20260711_HCC1395_read\347\276\244C\350\210\207Steiner\346\250\271T\346\213\223\346\222\262\345\275\242\347\213\200\345\205\250\346\250\243\346\234\254\346\225\270\346\223\232\345\240\261\345\221\212_01/20260711_HCC1395_read\347\276\244C\350\210\207Steiner\346\250\271T\346\213\223\346\222\262\345\275\242\347\213\200\345\205\250\346\250\243\346\234\254\346\225\270\346\223\232\345\240\261\345\221\212_01.md"	42	67189620	12	257889	8	8	report_complete_partial_evidence
20260712_hcc1395_pair_coarse_topology_gene_drug_validation	B	Q1 有 24 處路徑引用，但 43.5 MB 過大，留磁碟	24	2	"docs/reports/in_progress/2026/07/20260712_HCC1395\345\205\251\346\212\200\350\241\223\350\263\207\346\226\231\347\262\227\346\213\223\346\222\262\350\210\207\347\231\214\347\227\207\345\237\272\345\233\240\350\227\245\347\211\251\344\270\200\350\207\264\346\200\247\351\251\227\350\255\211_01/20260712_HCC1395\345\205\251\346\212\200\350\241\223\350\263\207\346\226\231\347\262\227\346\213\223\346\222\262\350\210\207\347\231\214\347\227\207\345\237\272\345\233\240\350\227\245\347\211\251\344\270\200\350\207\264\346\200\247\351\251\227\350\255\211_01.html";"docs/reports/in_progress/2026/07/20260712_HCC1395\345\205\251\346\212\200\350\241\223\350\263\207\346\226\231\347\262\227\346\213\223\346\222\262\350\210\207\347\231\214\347\227\207\345\237\272\345\233\240\350\227\245\347\211\251\344\270\200\350\207\264\346\200\247\351\251\227\350\255\211_01/20260712_HCC1395\345\205\251\346\212\200\350\241\223\350\263\207\346\226\231\347\262\227\346\213\223\346\222\262\350\210\207\347\231\214\347\227\207\345\237\272\345\233\240\350\227\245\347\211\251\344\270\200\350\207\264\346\200\247\351\251\227\350\255\211_01.md";"docs/reports/in_progress/2026/07/20260712_HCC1395\351\200\220\344\275\215\351\273\236\346\213\223\346\222\262\345\255\220\347\265\220\346\247\213\350\267\250\344\276\206\346\272\220\351\251\227\350\255\211_01/20260712_HCC1395\351\200\220\344\275\215\351\273\236\346\213\223\346\222\262\345\255\220\347\265\220\346\247\213\350\267\250\344\276\206\346\272\220\351\251\227\350\255\211_01.html"	55	43469952	16	401159	9	7	in_progress
20260712_hcc1395_pair_site_topology_containment_validation	B	Q1 有 8 處路徑引用，但 14.2 MB 過大，留磁碟	8	2	"docs/reports/in_progress/2026/07/20260712_HCC1395\351\200\220\344\275\215\351\273\236\346\213\223\346\222\262\345\255\220\347\265\220\346\247\213\350\267\250\344\276\206\346\272\220\351\251\227\350\255\211_01/20260712_HCC1395\351\200\220\344\275\215\351\273\236\346\213\223\346\222\262\345\255\220\347\265\220\346\247\213\350\267\250\344\276\206\346\272\220\351\251\227\350\255\211_01.html";"docs/reports/in_progress/2026/07/20260712_HCC1395\351\200\220\344\275\215\351\273\236\346\213\223\346\222\262\345\255\220\347\265\220\346\247\213\350\267\250\344\276\206\346\272\220\351\251\227\350\255\211_01/20260712_HCC1395\351\200\220\344\275\215\351\273\236\346\213\223\346\222\262\345\255\220\347\265\220\346\247\213\350\267\250\344\276\206\346\272\220\351\251\227\350\255\211_01.md";"research/20260712_vaf_ccf_subclone_crosssoftware_validation/20260712_HCC1395\344\275\215\351\273\236\345\215\200\345\237\237\346\213\223\346\222\262\350\210\207Clone\346\225\264\345\220\210\347\262\276\347\242\272\351\251\227\350\255\211_01.md"	34	14156605	10	284965	7	5	verdict_go_engineering_probe_scientific_no_go
20260712_read_weighted_hypercube_tree	A	Q1 有 2 處路徑引用，0.0 MB 可進 git	2	0	"research/20260724_likelihood_vaf_edge_identifiability_audit/20260724_HP-specific_read-AF\350\210\207Likelihood\350\267\257\345\276\221\346\216\222\345\272\217\346\261\272\347\255\226_02.md";research/20260716_read_linked_hypercube_exact_likelihood_validation/pre-decision-audit.md	1	46085	1	41989	0	0	verdict_probe_reframed_model
20260712_vaf_ccf_subclone_crosssoftware_validation	B	Q1 有 17 處路徑引用，但 1571.5 MB 過大，留磁碟	17	3	"docs/archive/2026/07/20260723_hcc1395_biological_id_report_preclaim_audit/20260723_HCC1395_biological_ID_specificity\350\210\207\350\236\215\345\220\210\346\250\271\351\251\227\350\255\211_01.html";"docs/thesis/20260712_\347\242\251\345\243\253\350\253\226\346\226\207\346\225\264\345\220\210\345\210\235\347\250\277_01/20260712_\347\242\251\345\243\253\350\253\226\346\226\207\351\207\215\351\273\236\346\265\201\347\250\213\350\250\210\345\212\203\346\233\270_01.md";"docs/thesis/20260712_\347\242\251\345\243\253\350\253\226\346\226\207\346\225\264\345\220\210\345\210\235\347\250\277_01/20260712_\347\242\251\345\243\253\350\253\226\346\226\207_01.html"	15262	1571502419	22	495144	4467	4463	comprehensive_validation_complete_with_claim_ceiling
20260712_vaf_selected_regional_topology	A	Q1 有 2 處路徑引用，0.0 MB 可進 git	2	0	"research/20260712_vaf_selected_regional_topology/20260712_VAF\345\215\200\345\237\237selected_topology\345\205\250\346\250\243\346\234\254\347\215\250\347\253\213\347\242\272\350\252\215_01.md";"research/20260712_vaf_selected_shape_four_class_census/20260712_VAF\346\234\200\347\265\202\345\226\256\344\270\200Shape\345\233\233\351\241\236\345\205\250\346\250\243\346\234\254\351\207\215\347\256\227_01.md"	2	22171	1	0	0	0	
20260712_vaf_selected_shape_four_class_census	A	Q1 有 12 處路徑引用，8.1 MB 可進 git	12	3	"research/20260712_vaf_selected_shape_four_class_census/20260712_VAF\346\234\200\347\265\202\345\226\256\344\270\200Shape\345\233\233\351\241\236\345\205\250\346\250\243\346\234\254\351\207\215\347\256\227_01.md";"research/20260713_crosssample_structure_bulk_sampling_adjustment/20260713_\345\205\250\346\250\243\346\234\254\347\265\220\346\247\213\344\270\200\350\207\264\346\200\247\350\210\207\345\215\200\345\237\237Clone\345\200\231\351\201\270\346\225\264\345\220\210\351\251\227\350\255\211_01.md";"research/20260713_crosssample_structure_bulk_sampling_adjustment/20260713_\350\267\250\346\250\243\346\234\254\347\265\220\346\247\213Composition\350\210\207BulkSamplingAdjustment\345\237\267\350\241\214\347\264\200\351\214\204_01.md"	9	8068636	2	22533	1	1	
20260713_crosssample_structure_bulk_sampling_adjustment	A	Q1 有 2 處路徑引用，10.3 MB 可進 git	2	0	"research/20260713_crosssample_structure_bulk_sampling_adjustment/20260713_\345\205\250\346\250\243\346\234\254\347\265\220\346\247\213\344\270\200\350\207\264\346\200\247\350\210\207\345\215\200\345\237\237Clone\345\200\231\351\201\270\346\225\264\345\220\210\351\251\227\350\255\211_01.md";"research/20260713_crosssample_structure_bulk_sampling_adjustment/20260713_\350\267\250\346\250\243\346\234\254\347\265\220\346\247\213Composition\350\210\207BulkSamplingAdjustment\345\237\267\350\241\214\347\264\200\351\214\204_01.md"	79	10330689	16	249237	5	4	
20260713_hp_readstate_clone_identifiability	A	Q1 有 2 處路徑引用，0.0 MB 可進 git	2	0	"research/20260713_hp_readstate_clone_identifiability/20260713_HP\345\210\206\347\276\244Read\345\205\261\347\217\276\350\210\207\345\215\200\345\237\237Clone\345\217\257\350\276\250\350\255\230\346\200\247\347\265\220\350\253\226_01.md";"research/20260724_likelihood_vaf_edge_identifiability_audit/20260724_HP-specific_read-AF\350\210\207Likelihood\350\267\257\345\276\221\346\216\222\345\272\217\346\261\272\347\255\226_02.md"	1	28190	1	0	0	0	current
20260714_cross_hp_clone_state_inverse_audit	A	Q1 有 6 處路徑引用，4.8 MB 可進 git	6	0	"docs/reports/in_progress/2026/07/20260716_\347\240\224\347\251\266\351\200\262\345\272\246\345\205\250\351\235\242\347\242\272\350\252\215\350\210\207gap\347\250\275\346\240\270_01.md";"research/20260714_cross_hp_clone_state_inverse_audit/20260714_\350\267\250HP_clone\347\213\200\346\205\213\345\217\215\346\216\250\345\217\257\350\241\214\346\200\247\350\210\207\350\247\200\345\257\237\351\251\227\350\255\211\347\264\200\351\214\204_01.md";"research/20260714_hcc1395_unknown_k_clone_state_consistency/20260714_HCC1395\346\234\252\347\237\245K\345\215\200\345\237\237clone\347\213\200\346\205\213\350\210\207\350\267\250\346\212\200\350\241\223\344\270\200\350\207\264\346\200\247\351\251\227\350\255\211_01.md"	33	4827762	10	169377	7	7	
20260714_hcc1395_unknown_k_clone_state_consistency	A	Q1 有 7 處路徑引用，8.2 MB 可進 git	7	1	"docs/reports/in_progress/2026/07/20260716_\347\240\224\347\251\266\351\200\262\345\272\246\345\205\250\351\235\242\347\242\272\350\252\215\350\210\207gap\347\250\275\346\240\270_01.md";"research/20260714_hcc1395_unknown_k_clone_state_consistency/20260714_HCC1395\346\234\252\347\237\245K\345\215\200\345\237\237clone\347\213\200\346\205\213\350\210\207\350\267\250\346\212\200\350\241\223\344\270\200\350\207\264\346\200\247\351\251\227\350\255\211_01.md";"research/20260715_sample_topology_comparison/20260715_\344\270\203\350\263\207\346\226\231\351\233\206\346\213\223\346\222\262\347\265\220\346\247\213\346\257\224\350\274\203\350\210\207HCC1395\350\267\250\346\212\200\350\241\223\351\207\215\347\217\276\346\200\247\351\251\227\350\255\211_01.md"	9	8197111	4	56137	3	2	
20260714_layered_workstation_redesign	A	Q1 有 2 處路徑引用，0.0 MB 可進 git	2	0	research/20260715_layered_workstation_concept_dimensions/implementation-notes.md;research/20260715_layered_workstation_concept_dimensions/pre-decision-audit.md	3	29325	3	25229	0	0	complete
20260714_verification_region_stratifier_schema_repair	A	Q1 有 5 處路徑引用，0.2 MB 可進 git	5	0	"docs/reports/validated/2026/07/20260714_VerificationSchemaV2\350\210\207RegionStratifier\344\277\256\345\276\251\345\256\214\346\225\264\346\265\201\347\250\213\350\252\252\346\230\216_01/20260714_VerificationSchemaV2\350\210\207RegionStratifier\344\277\256\345\276\251\345\256\214\346\225\264\346\265\201\347\250\213\350\252\252\346\230\216_01.md";"docs/reports/validated/2026/07/20260714_VerificationSchemaV2\350\210\207RegionStratifier\344\277\256\345\276\251\345\256\214\346\225\264\346\265\201\347\250\213\350\252\252\346\230\216_01/20260714_VerificationSchemaV2\350\210\207RegionStratifier\344\277\256\345\276\251\345\256\214\346\225\264\346\265\201\347\250\213\350\252\252\346\230\216_01.standalone.html";"research/20260714_verification_region_stratifier_schema_repair/20260714_CPP\345\210\206\351\241\236\350\210\207RegionStratifier\346\265\201\347\250\213\344\276\206\346\272\220\345\260\215\347\205\247_01.md"	7	233209	6	70672	0	0	validated-source-map
