round	priority	move_type	action	reason	old_path	new_path	status	note
round2	P1	file	presentations_version_governance	將 superseded 草稿退出 validated	docs/presentations/validated/2026/03/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_oral_v01.pptx	docs/presentations/draft/2026/03/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_oral_v01.pptx	verified	validated 僅保留完成 QA 的 deck
round2	P1	dir	presentations_version_governance	將草稿 deck 資產退出 validated	docs/presentations/validated/2026/03/assets/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_oral_v01_assets	docs/presentations/draft/2026/03/assets/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_oral_v01_assets	verified	草稿資產與草稿 deck 同目錄治理
round2	P1	file	presentations_version_governance	將未正式 QA 的設計版退出 validated	docs/presentations/validated/2026/03/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_v04.pptx	docs/presentations/draft/2026/03/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_v04.pptx	verified	v04 改列 qa_pending_draft
round2	P1	file	research_boundary_split	將歷史研究腳本移出 docs/research	docs/research/methylation_f1_optimization/04_scripts/phase1_analysis.py	scripts/analysis/legacy/methylation_f1_optimization/phase1_analysis.py	verified	保留 legacy 可重跑性
round2	P1	file	research_boundary_split	將歷史研究腳本移出 docs/research	docs/research/methylation_f1_optimization/04_scripts/phase2_analysis.py	scripts/analysis/legacy/methylation_f1_optimization/phase2_analysis.py	verified	保留 legacy 可重跑性
round2	P1	file	research_boundary_split	將歷史研究腳本移出 docs/research	docs/research/methylation_f1_optimization/04_scripts/phase3_verification.py	scripts/analysis/legacy/methylation_f1_optimization/phase3_verification.py	verified	保留 legacy 可重跑性
round2	P1	file	research_boundary_split	將歷史研究腳本移出 docs/research	docs/research/methylation_f1_optimization/04_scripts/phase4_methylation_combination.py	scripts/analysis/legacy/methylation_f1_optimization/phase4_methylation_combination.py	verified	保留 legacy 可重跑性
round2	P1	file	research_boundary_split	將研究圖表資產移到明確 assets 邊界	docs/research/methylation_f1_optimization/05_results/longphase_s_qual_af_analysis.png	docs/research/methylation_f1_optimization/assets/2026/01/longphase_s_qual_af_analysis.png	verified	文檔與資產邊界分離
round2	P1	dir	research_boundary_split	將 phase1 圖表資產移到明確 assets 邊界	docs/research/methylation_f1_optimization/05_results/phase1_plots	docs/research/methylation_f1_optimization/assets/2026/01/phase1_plots	verified	文檔與資產邊界分離
round2	P1	dir	research_boundary_split	將 phase2 圖表資產移到明確 assets 邊界	docs/research/methylation_f1_optimization/05_results/phase2_plots	docs/research/methylation_f1_optimization/assets/2026/01/phase2_plots	verified	文檔與資產邊界分離
round2	P1	dir	research_boundary_split	將 phase3 圖表資產移到明確 assets 邊界	docs/research/methylation_f1_optimization/05_results/phase3_plots	docs/research/methylation_f1_optimization/assets/2026/01/phase3_plots	verified	文檔與資產邊界分離
round2	P1	dir	research_boundary_split	將 phase4 圖表資產移到明確 assets 邊界	docs/research/methylation_f1_optimization/05_results/phase4_plots	docs/research/methylation_f1_optimization/assets/2026/01/phase4_plots	verified	文檔與資產邊界分離
round2	P1	dir	archive_pending_review	將空骨架退出主導航	docs/research/methylation_f1_optimization/01_data_exploration	docs/archive/2026/03/20260312_docs_round2_pending_review_01/research_methylation_f1_optimization/01_data_exploration	moved_to_pending_review	僅保留待審，不刪除
round2	P1	dir	archive_pending_review	將空骨架退出主導航	docs/research/methylation_f1_optimization/02_feature_studies	docs/archive/2026/03/20260312_docs_round2_pending_review_01/research_methylation_f1_optimization/02_feature_studies	moved_to_pending_review	僅保留待審，不刪除
round2	P1	dir	archive_pending_review	將空骨架退出主導航	docs/research/methylation_f1_optimization/03_experiments	docs/archive/2026/03/20260312_docs_round2_pending_review_01/research_methylation_f1_optimization/03_experiments	moved_to_pending_review	僅保留待審，不刪除
round2	P1	dir	archive_pending_review	將舊工作區殘餘目錄退出主導航	docs/research/methylation_f1_optimization/04_scripts	docs/archive/2026/03/20260312_docs_round2_pending_review_01/research_methylation_f1_optimization/04_scripts	moved_to_pending_review	內含空 exploration/analysis/validation 骨架
round2	P1	dir	archive_pending_review	將舊結果容器退出主導航	docs/research/methylation_f1_optimization/05_results	docs/archive/2026/03/20260312_docs_round2_pending_review_01/research_methylation_f1_optimization/05_results	moved_to_pending_review	圖檔已搬至 assets/2026/01
round2	P1	dir	archive_pending_review	將未使用 code patches 骨架退出主導航	docs/research/methylation_f1_optimization/06_code_patches	docs/archive/2026/03/20260312_docs_round2_pending_review_01/research_methylation_f1_optimization/06_code_patches	moved_to_pending_review	僅保留待審，不刪除
