round_id	category	item_type	reason	old_path	new_path	status	notes
round1	P1	file	references_manual 與外部參考拆分	docs/references/2026/01/20260122_Antigravity_ClaudeCode_Integration_Guide_01.md	docs/references/external/2026/01/20260122_Antigravity_ClaudeCode_Integration_Guide_01.md	verified	外部整合指南改歸 external
round1	P1	file	references_manual 與外部文獻拆分	docs/references/2026/03/20260302_tissue_origin_methylation_confounding_literature_review_01.md	docs/references/external/2026/03/20260302_tissue_origin_methylation_confounding_literature_review_01.md	verified	文獻綜述改歸 external
round1	P1	dir	ai_sessions 重新定位成 provenance	docs/ai_sessions	docs/provenance/ai_sessions	verified	保留所有年月子樹
round1	P0	file	收斂 analysis 類別	docs/analysis/2026/03/20260302_subsample_methylation_confounding_analysis_01.md	docs/reports/validated/2026/03/20260302_subsample_methylation_confounding_analysis_01.md	verified	analysis 文件改歸 validated report
round1	P0	file	清除 reports 內的簡報	docs/reports/validated/2026/03/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_01.pptx	docs/presentations/validated/2026/03/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_01.pptx	verified	reports 只保留 markdown 報告
round1	P1	dir	簡報資產集中治理	docs/reports/validated/2026/03/assets/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_01_pptx_assets	docs/presentations/validated/2026/03/assets/20260311_研究主線週報_20260305_20260311_phase2_annotation整合_01_assets	verified	簡報 QA/資產集中到 presentations
round1	P0	dir	空骨架退出主導航	docs/architecture/modules	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/modules	pending_manual_review	空目錄待人工確認是否永久封存
round1	P0	dir	空骨架退出主導航	docs/data_specs	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/data_specs	pending_manual_review	整體未啟用
round1	P0	dir	空骨架退出主導航	docs/references/api	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/api	pending_manual_review	未啟用子類別
round1	P0	dir	空骨架退出主導航	docs/references/requirements	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/requirements	pending_manual_review	未啟用子類別
round1	P0	dir	空骨架退出主導航	docs/reports/2026	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/2026	pending_manual_review	只有空的 2026/02 骨架
round1	P0	dir	analysis 空骨架退出主導航	docs/analysis	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/analysis	pending_manual_review	主文件已先移到 reports
round1	P1	dir	references 舊年度骨架退出主導航	docs/references/2026	docs/archive/2026/03/20260311_docs_round1_pending_review_01/top_level_skeletons/references_2026	pending_manual_review	內容已分流到 external，原骨架保留待審
